house_price,house_price
65000,139
28000,230
29000,79
40000,78
29000,178
62000,345
72500,215
64000,275
26500,140
26500,271
21000,90
35000,43
25000,71
23500,139
28000,179
33500,280
25000,135
24550,190
32000,50
13800,100
14000,97
49000,160
95000,260
55000,139
35000,89
24500,415
45000,100
28500,100
17500,100
40000,100
13000,260
17000,89
39500,100
17000,45
18500,100
28000,100
30000,100
61500,100
26800,100
22500,100
13000,149
13500,137
22000,100
22000,100
19000,100
53500,147
45000,120
30000,100
40000,140
20500,100
20000,100
28000,65
40000,100
17000,100
17500,100
16500,100
22000,100
29500,52
47500,100
21500,61
11500,122
40000,100
32500,100
14500,90
12000,124
75000,100
20500,100
14500,100
15000,100
23000,265
22500,50
12000,94
14000,76
47000,138
18500,100
25500,100
65727,213
27500,100
14500,100
27000,45
35000,100
